Started at: Thu Oct 30 04:32:23 PM SAST 2025
LETS COOOK IT UPPP

======================================================================
NO EXISTING MODEL FOUND - STARTING FRESH TRAINING
======================================================================

Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Wrapping the env in a VecTransposeImage.

======================================================================
STARTING NEW TRAINING
Target total: 1,000,000 steps
======================================================================

Logging to ./PPO_crafter_tensorboard/PPO_14
---------------------------------
| rollout/           |          |
|    n_updates            | 700        |
|    policy_gradient_loss | -0.0924    |
|    value_loss           | 0.0561     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 179        |
|    ep_rew_mean          | 3.71       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 72         |
|    time_elapsed         | 1527       |
|    total_timesteps      | 147456     |
| train/                  |            |
|    approx_kl            | 0.10373798 |
|    clip_fraction        | 0.582      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.14      |
|    explained_variance   | 0.772      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.11      |
|    n_updates            | 710        |
|    policy_gradient_loss | -0.091     |
|    value_loss           | 0.063      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 180        |
|    ep_rew_mean          | 3.75       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 73         |
|    time_elapsed         | 1547       |
|    total_timesteps      | 149504     |
| train/                  |            |
|    approx_kl            | 0.10817946 |
|    clip_fraction        | 0.598      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.23      |
|    explained_variance   | 0.797      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.141     |
|    n_updates            | 720        |
|    policy_gradient_loss | -0.0934    |
|    value_loss           | 0.0469     |
----------------------------------------
Eval num_timesteps=150000, episode_reward=2.50 +/- 1.02
Episode length: 203.80 +/- 27.64
----------------------------------------
| eval/                   |            |
|    mean_ep_length       | 204        |
|    mean_reward          | 2.5        |
| time/                   |            |
|    total_timesteps      | 150000     |
| train/                  |            |
|    approx_kl            | 0.11601979 |
|    clip_fraction        | 0.581      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.2       |
|    explained_variance   | 0.849      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.149     |
|    n_updates            | 730        |
|    policy_gradient_loss | -0.0927    |
|    value_loss           | 0.0345     |
----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 180      |
|    ep_rew_mean     | 3.76     |
| time/              |          |
|    fps             | 96       |
|    iterations      | 74       |
|    time_elapsed    | 1577     |
|    total_timesteps | 151552   |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 181        |
|    ep_rew_mean          | 3.82       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 75         |
|    time_elapsed         | 1597       |
|    total_timesteps      | 153600     |
| train/                  |            |
|    approx_kl            | 0.09184411 |
|    clip_fraction        | 0.568      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.21      |
|    explained_variance   | 0.758      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.131     |
|    n_updates            | 740        |
|    policy_gradient_loss | -0.0872    |
|    value_loss           | 0.0615     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 180        |
|    ep_rew_mean          | 3.83       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 76         |
|    time_elapsed         | 1618       |
|    total_timesteps      | 155648     |
| train/                  |            |
|    approx_kl            | 0.09571096 |
|    clip_fraction        | 0.552      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.2       |
|    explained_variance   | 0.793      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.139     |
|    n_updates            | 750        |
|    policy_gradient_loss | -0.0873    |
|    value_loss           | 0.0489     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 179        |
|    ep_rew_mean          | 3.75       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 77         |
|    time_elapsed         | 1639       |
|    total_timesteps      | 157696     |
| train/                  |            |
|    approx_kl            | 0.09403765 |
|    clip_fraction        | 0.561      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.27      |
|    explained_variance   | 0.827      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.122     |
|    n_updates            | 760        |
|    policy_gradient_loss | -0.0932    |
|    value_loss           | 0.045      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 180        |
|    ep_rew_mean          | 3.7        |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 78         |
|    time_elapsed         | 1660       |
|    total_timesteps      | 159744     |
| train/                  |            |
|    approx_kl            | 0.09111272 |
|    clip_fraction        | 0.553      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.26      |
|    explained_variance   | 0.779      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.134     |
|    n_updates            | 770        |
|    policy_gradient_loss | -0.0893    |
|    value_loss           | 0.0518     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 177        |
|    ep_rew_mean          | 3.58       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 79         |
|    time_elapsed         | 1681       |
|    total_timesteps      | 161792     |
| train/                  |            |
|    approx_kl            | 0.08161795 |
|    clip_fraction        | 0.535      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.22      |
|    explained_variance   | 0.753      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.115     |
|    n_updates            | 780        |
|    policy_gradient_loss | -0.0878    |
|    value_loss           | 0.0588     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 177         |
|    ep_rew_mean          | 3.51        |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 80          |
|    time_elapsed         | 1702        |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.114150375 |
|    clip_fraction        | 0.59        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.28       |
|    explained_variance   | 0.734       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.149      |
|    n_updates            | 790         |
|    policy_gradient_loss | -0.0974     |
|    value_loss           | 0.0599      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 173        |
|    ep_rew_mean          | 3.42       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 81         |
|    time_elapsed         | 1724       |
|    total_timesteps      | 165888     |
| train/                  |            |
|    approx_kl            | 0.10409507 |
|    clip_fraction        | 0.562      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.24      |
|    explained_variance   | 0.765      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.135     |
|    n_updates            | 800        |
|    policy_gradient_loss | -0.0919    |
|    value_loss           | 0.0586     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 170        |
|    ep_rew_mean          | 3.36       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 82         |
|    time_elapsed         | 1747       |
|    total_timesteps      | 167936     |
| train/                  |            |
|    approx_kl            | 0.09520958 |
|    clip_fraction        | 0.568      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.24      |
|    explained_variance   | 0.754      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.129     |
|    n_updates            | 810        |
|    policy_gradient_loss | -0.0939    |
|    value_loss           | 0.0713     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 168        |
|    ep_rew_mean          | 3.31       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 83         |
|    time_elapsed         | 1768       |
|    total_timesteps      | 169984     |
| train/                  |            |
|    approx_kl            | 0.10924411 |
|    clip_fraction        | 0.59       |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.32      |
|    explained_variance   | 0.8        |
|    learning_rate        | 0.0003     |
|    loss                 | -0.158     |
|    n_updates            | 820        |
|    policy_gradient_loss | -0.0936    |
|    value_loss           | 0.0409     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 165        |
|    ep_rew_mean          | 3.2        |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 84         |
|    time_elapsed         | 1790       |
|    total_timesteps      | 172032     |
| train/                  |            |
|    approx_kl            | 0.11561567 |
|    clip_fraction        | 0.606      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.32      |
|    explained_variance   | 0.767      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.142     |
|    n_updates            | 830        |
|    policy_gradient_loss | -0.0982    |
|    value_loss           | 0.0433     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 163        |
|    ep_rew_mean          | 3.21       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 85         |
|    time_elapsed         | 1813       |
|    total_timesteps      | 174080     |
| train/                  |            |
|    approx_kl            | 0.11155458 |
|    clip_fraction        | 0.582      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.3       |
|    explained_variance   | 0.774      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.148     |
|    n_updates            | 840        |
|    policy_gradient_loss | -0.0958    |
|    value_loss           | 0.0494     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 163        |
|    ep_rew_mean          | 3.12       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 86         |
|    time_elapsed         | 1834       |
|    total_timesteps      | 176128     |
| train/                  |            |
|    approx_kl            | 0.12885958 |
|    clip_fraction        | 0.609      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.29      |
|    explained_variance   | 0.784      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.145     |
|    n_updates            | 850        |
|    policy_gradient_loss | -0.103     |
|    value_loss           | 0.0443     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 167         |
|    ep_rew_mean          | 3.05        |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 87          |
|    time_elapsed         | 1853        |
|    total_timesteps      | 178176      |
| train/                  |             |
|    approx_kl            | 0.112078324 |
|    clip_fraction        | 0.574       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.27       |
|    explained_variance   | 0.792       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.157      |
|    n_updates            | 860         |
|    policy_gradient_loss | -0.0913     |
|    value_loss           | 0.0474      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 167         |
|    ep_rew_mean          | 3.06        |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 88          |
|    time_elapsed         | 1874        |
|    total_timesteps      | 180224      |
| train/                  |             |
|    approx_kl            | 0.102858394 |
|    clip_fraction        | 0.556       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.36       |
|    explained_variance   | 0.737       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.135      |
|    n_updates            | 870         |
|    policy_gradient_loss | -0.0896     |
|    value_loss           | 0.0452      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 170        |
|    ep_rew_mean          | 3          |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 89         |
|    time_elapsed         | 1894       |
|    total_timesteps      | 182272     |
| train/                  |            |
|    approx_kl            | 0.08861227 |
|    clip_fraction        | 0.542      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.32      |
|    explained_variance   | 0.754      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.145     |
|    n_updates            | 880        |
|    policy_gradient_loss | -0.0886    |
|    value_loss           | 0.0686     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 170        |
|    ep_rew_mean          | 2.98       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 90         |
|    time_elapsed         | 1916       |
|    total_timesteps      | 184320     |
| train/                  |            |
|    approx_kl            | 0.10819143 |
|    clip_fraction        | 0.571      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.34      |
|    explained_variance   | 0.762      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.143     |
|    n_updates            | 890        |
|    policy_gradient_loss | -0.0924    |
|    value_loss           | 0.0521     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 174        |
|    ep_rew_mean          | 3.06       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 91         |
|    time_elapsed         | 1935       |
|    total_timesteps      | 186368     |
| train/                  |            |
|    approx_kl            | 0.09288938 |
|    clip_fraction        | 0.575      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.35      |
|    explained_variance   | 0.768      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.142     |
|    n_updates            | 900        |
|    policy_gradient_loss | -0.0912    |
|    value_loss           | 0.0527     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 174         |
|    ep_rew_mean          | 3.15        |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 92          |
|    time_elapsed         | 1956        |
|    total_timesteps      | 188416      |
| train/                  |             |
|    approx_kl            | 0.096918106 |
|    clip_fraction        | 0.57        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.38       |
|    explained_variance   | 0.796       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.14       |
|    n_updates            | 910         |
|    policy_gradient_loss | -0.0926     |
|    value_loss           | 0.0471      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 179        |
|    ep_rew_mean          | 3.2        |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 93         |
|    time_elapsed         | 1976       |
|    total_timesteps      | 190464     |
| train/                  |            |
|    approx_kl            | 0.09633657 |
|    clip_fraction        | 0.573      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.29      |
|    explained_variance   | 0.743      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.139     |
|    n_updates            | 920        |
|    policy_gradient_loss | -0.0964    |
|    value_loss           | 0.055      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 177        |
|    ep_rew_mean          | 3.23       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 94         |
|    time_elapsed         | 2000       |
|    total_timesteps      | 192512     |
| train/                  |            |
|    approx_kl            | 0.10589366 |
|    clip_fraction        | 0.574      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.35      |
|    explained_variance   | 0.735      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.148     |
|    n_updates            | 930        |
|    policy_gradient_loss | -0.0929    |
|    value_loss           | 0.0461     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 179        |
|    ep_rew_mean          | 3.39       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 95         |
|    time_elapsed         | 2019       |
|    total_timesteps      | 194560     |
| train/                  |            |
|    approx_kl            | 0.11158899 |
|    clip_fraction        | 0.581      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.35      |
|    explained_variance   | 0.707      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.157     |
|    n_updates            | 940        |
|    policy_gradient_loss | -0.0981    |
|    value_loss           | 0.0535     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 176        |
|    ep_rew_mean          | 3.37       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 96         |
|    time_elapsed         | 2040       |
|    total_timesteps      | 196608     |
| train/                  |            |
|    approx_kl            | 0.10823986 |
|    clip_fraction        | 0.59       |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.36      |
|    explained_variance   | 0.731      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.16      |
|    n_updates            | 950        |
|    policy_gradient_loss | -0.0956    |
|    value_loss           | 0.0477     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 177        |
|    ep_rew_mean          | 3.41       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 97         |
|    time_elapsed         | 2062       |
|    total_timesteps      | 198656     |
| train/                  |            |
|    approx_kl            | 0.09965552 |
|    clip_fraction        | 0.587      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.34      |
|    explained_variance   | 0.707      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.122     |
|    n_updates            | 960        |
|    policy_gradient_loss | -0.0957    |
|    value_loss           | 0.0541     |
----------------------------------------
Eval num_timesteps=200000, episode_reward=2.90 +/- 2.04
Episode length: 193.40 +/- 34.15
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 193         |
|    mean_reward          | 2.9         |
| time/                   |             |
|    total_timesteps      | 200000      |
| train/                  |             |
|    approx_kl            | 0.096199185 |
|    clip_fraction        | 0.57        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.29       |
|    explained_variance   | 0.803       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.111      |
|    n_updates            | 970         |
|    policy_gradient_loss | -0.0926     |
|    value_loss           | 0.0612      |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 177      |
|    ep_rew_mean     | 3.39     |
| time/              |          |
|    fps             | 96       |
|    iterations      | 98       |
|    time_elapsed    | 2090     |
|    total_timesteps | 200704   |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 174        |
|    ep_rew_mean          | 3.42       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 99         |
|    time_elapsed         | 2111       |
|    total_timesteps      | 202752     |
| train/                  |            |
|    approx_kl            | 0.09848772 |
|    clip_fraction        | 0.583      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.38      |
|    explained_variance   | 0.779      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.153     |
|    n_updates            | 980        |
|    policy_gradient_loss | -0.0953    |
|    value_loss           | 0.0419     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 172        |
|    ep_rew_mean          | 3.28       |
| time/                   |            |
|    fps                  | 95         |
|    iterations           | 100        |
|    time_elapsed         | 2134       |
|    total_timesteps      | 204800     |
| train/                  |            |
|    approx_kl            | 0.10226773 |
|    clip_fraction        | 0.572      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.38      |
|    explained_variance   | 0.752      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.137     |
|    n_updates            | 990        |
|    policy_gradient_loss | -0.0905    |
|    value_loss           | 0.0471     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 170         |
|    ep_rew_mean          | 3.18        |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 101         |
|    time_elapsed         | 2155        |
|    total_timesteps      | 206848      |
| train/                  |             |
|    approx_kl            | 0.097224556 |
|    clip_fraction        | 0.56        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.35       |
|    explained_variance   | 0.7         |
|    learning_rate        | 0.0003      |
|    loss                 | -0.124      |
|    n_updates            | 1000        |
|    policy_gradient_loss | -0.0906     |
|    value_loss           | 0.0662      |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 171       |
|    ep_rew_mean          | 3.17      |
| time/                   |           |
|    fps                  | 95        |
|    iterations           | 102       |
|    time_elapsed         | 2176      |
|    total_timesteps      | 208896    |
| train/                  |           |
|    approx_kl            | 0.1044225 |
|    clip_fraction        | 0.579     |
|    clip_range           | 0.2       |
|    entropy_loss         | -2.34     |
|    explained_variance   | 0.673     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.126    |
|    n_updates            | 1010      |
|    policy_gradient_loss | -0.0974   |
|    value_loss           | 0.071     |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 172         |
|    ep_rew_mean          | 3.06        |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 103         |
|    time_elapsed         | 2196        |
|    total_timesteps      | 210944      |
| train/                  |             |
|    approx_kl            | 0.121621326 |
|    clip_fraction        | 0.597       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.34       |
|    explained_variance   | 0.584       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.133      |
|    n_updates            | 1020        |
|    policy_gradient_loss | -0.0911     |
|    value_loss           | 0.0575      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 173        |
|    ep_rew_mean          | 2.95       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 104        |
|    time_elapsed         | 2216       |
|    total_timesteps      | 212992     |
| train/                  |            |
|    approx_kl            | 0.10693112 |
|    clip_fraction        | 0.604      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.32      |
|    explained_variance   | 0.728      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.137     |
|    n_updates            | 1030       |
|    policy_gradient_loss | -0.0929    |
|    value_loss           | 0.0405     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 171        |
|    ep_rew_mean          | 2.87       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 105        |
|    time_elapsed         | 2238       |
|    total_timesteps      | 215040     |
| train/                  |            |
|    approx_kl            | 0.09510177 |
|    clip_fraction        | 0.563      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.39      |
|    explained_variance   | 0.687      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.146     |
|    n_updates            | 1040       |
|    policy_gradient_loss | -0.0939    |
|    value_loss           | 0.0465     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 175        |
|    ep_rew_mean          | 2.85       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 106        |
|    time_elapsed         | 2257       |
|    total_timesteps      | 217088     |
| train/                  |            |
|    approx_kl            | 0.11299461 |
|    clip_fraction        | 0.574      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.29      |
|    explained_variance   | 0.683      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.15      |
|    n_updates            | 1050       |
|    policy_gradient_loss | -0.0917    |
|    value_loss           | 0.0579     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 170        |
|    ep_rew_mean          | 2.77       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 107        |
|    time_elapsed         | 2280       |
|    total_timesteps      | 219136     |
| train/                  |            |
|    approx_kl            | 0.10780838 |
|    clip_fraction        | 0.58       |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.37      |
|    explained_variance   | 0.74       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.142     |
|    n_updates            | 1060       |
|    policy_gradient_loss | -0.093     |
|    value_loss           | 0.0414     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 172        |
|    ep_rew_mean          | 2.67       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 108        |
|    time_elapsed         | 2301       |
|    total_timesteps      | 221184     |
| train/                  |            |
|    approx_kl            | 0.10608417 |
|    clip_fraction        | 0.591      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.27      |
|    explained_variance   | 0.587      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.137     |
|    n_updates            | 1070       |
|    policy_gradient_loss | -0.0947    |
|    value_loss           | 0.048      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 174        |
|    ep_rew_mean          | 2.7        |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 109        |
|    time_elapsed         | 2322       |
|    total_timesteps      | 223232     |
| train/                  |            |
|    approx_kl            | 0.09734127 |
|    clip_fraction        | 0.578      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.3       |
|    explained_variance   | 0.666      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.126     |
|    n_updates            | 1080       |
|    policy_gradient_loss | -0.09      |
|    value_loss           | 0.0504     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 169        |
|    ep_rew_mean          | 2.63       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 110        |
|    time_elapsed         | 2345       |
|    total_timesteps      | 225280     |
| train/                  |            |
|    approx_kl            | 0.12569171 |
|    clip_fraction        | 0.599      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.31      |
|    explained_variance   | 0.642      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0786    |
|    n_updates            | 1090       |
|    policy_gradient_loss | -0.0977    |
|    value_loss           | 0.0584     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 169        |
|    ep_rew_mean          | 2.79       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 111        |
|    time_elapsed         | 2366       |
|    total_timesteps      | 227328     |
| train/                  |            |
|    approx_kl            | 0.13450065 |
|    clip_fraction        | 0.614      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.27      |
|    explained_variance   | 0.673      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.149     |
|    n_updates            | 1100       |
|    policy_gradient_loss | -0.103     |
|    value_loss           | 0.0448     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 165        |
|    ep_rew_mean          | 2.85       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 112        |
|    time_elapsed         | 2388       |
|    total_timesteps      | 229376     |
| train/                  |            |
|    approx_kl            | 0.14299479 |
|    clip_fraction        | 0.614      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.24      |
|    explained_variance   | 0.736      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.143     |
|    n_updates            | 1110       |
|    policy_gradient_loss | -0.103     |
|    value_loss           | 0.0495     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 167        |
|    ep_rew_mean          | 2.8        |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 113        |
|    time_elapsed         | 2409       |
|    total_timesteps      | 231424     |
| train/                  |            |
|    approx_kl            | 0.11156219 |
|    clip_fraction        | 0.599      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.27      |
|    explained_variance   | 0.765      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.135     |
|    n_updates            | 1120       |
|    policy_gradient_loss | -0.0996    |
|    value_loss           | 0.0477     |
----------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 166      |
|    ep_rew_mean          | 2.77     |
| time/                   |          |
|    fps                  | 96       |
|    iterations           | 114      |
|    time_elapsed         | 2429     |
|    total_timesteps      | 233472   |
| train/                  |          |
|    approx_kl            | 0.126912 |
|    clip_fraction        | 0.589    |
|    clip_range           | 0.2      |
|    entropy_loss         | -2.28    |
|    explained_variance   | 0.773    |
|    learning_rate        | 0.0003   |
|    loss                 | -0.138   |
|    n_updates            | 1130     |
|    policy_gradient_loss | -0.0952  |
|    value_loss           | 0.0375   |
--------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 166        |
|    ep_rew_mean          | 2.85       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 115        |
|    time_elapsed         | 2451       |
|    total_timesteps      | 235520     |
| train/                  |            |
|    approx_kl            | 0.10637779 |
|    clip_fraction        | 0.582      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.28      |
|    explained_variance   | 0.742      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.147     |
|    n_updates            | 1140       |
|    policy_gradient_loss | -0.0966    |
|    value_loss           | 0.0501     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 164        |
|    ep_rew_mean          | 2.9        |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 116        |
|    time_elapsed         | 2474       |
|    total_timesteps      | 237568     |
| train/                  |            |
|    approx_kl            | 0.11726762 |
|    clip_fraction        | 0.607      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.24      |
|    explained_variance   | 0.773      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.132     |
|    n_updates            | 1150       |
|    policy_gradient_loss | -0.0979    |
|    value_loss           | 0.0499     |
----------------------------------------
---------------------------------------
| rollout/                |           |
